Country,Region,Year,Population_Million,GDP_per_Capita_USD,Internet_Penetration_Percent,EWaste_Generated_kt,EWaste_per_Capita_kg,EWaste_Formally_Recycled_kt,Recycling_Rate_Percent
United States,North America,2015,320.0,56000.0,66.3,6495.37,20.3,967.57,14.9
United States,North America,2016,321.92,57400.0,67.5,6867.23,21.33,1048.57,15.27
United States,North America,2017,323.85,58835.0,70.1,7057.96,21.79,1166.27,16.52
United States,North America,2018,325.79,60305.9,73.1,7027.27,21.57,1125.14,16.01
United States,North America,2019,327.75,61813.5,73.6,7146.83,21.81,1091.15,15.27
United States,North America,2020,329.72,63358.9,80.6,7157.85,21.71,1181.65,16.51
United States,North America,2021,331.69,64942.8,85.9,7267.32,21.91,1209.72,16.65
United States,North America,2022,333.68,66566.4,83.2,7614.04,22.82,1409.39,18.51
United States,North America,2023,335.69,68230.6,86.7,7737.74,23.05,1478.44,19.11
United States,North America,2024,337.7,69936.3,91.4,8162.64,24.17,1549.58,18.98
China,Asia,2015,1375.0,8000.0,30.0,8776.17,6.38,958.9,10.93
China,Asia,2016,1380.5,8480.0,32.4,9470.48,6.86,1045.16,11.04
China,Asia,2017,1386.02,8988.8,38.2,10770.83,7.77,1091.63,10.14
China,Asia,2018,1391.57,9528.1,48.8,11782.95,8.47,1455.19,12.35
China,Asia,2019,1397.13,10099.8,50.0,12774.61,9.14,1588.48,12.43
China,Asia,2020,1402.72,10705.8,63.7,13725.74,9.79,1794.51,13.07
China,Asia,2021,1408.33,11348.2,67.6,15510.7,11.01,2006.27,12.93
China,Asia,2022,1413.97,12029.0,74.6,16607.0,11.74,2412.56,14.53
China,Asia,2023,1419.62,12750.8,76.4,18955.14,13.35,3161.84,16.68
China,Asia,2024,1425.3,13515.8,87.9,19934.74,13.99,3423.72,17.17
India,Asia,2015,1310.0,1600.0,26.7,2582.34,1.97,127.92,4.95
India,Asia,2016,1324.41,1696.0,40.2,2809.14,2.12,157.86,5.62
India,Asia,2017,1338.98,1797.8,43.3,3233.33,2.41,198.03,6.12
India,Asia,2018,1353.71,1905.6,52.9,3533.83,2.61,226.6,6.41
India,Asia,2019,1368.6,2020.0,46.6,4003.22,2.93,293.62,7.33
India,Asia,2020,1383.65,2141.2,59.7,4566.66,3.3,336.96,7.38
India,Asia,2021,1398.87,2269.6,66.0,4970.02,3.55,355.15,7.15
India,Asia,2022,1414.26,2405.8,71.2,5571.04,3.94,512.67,9.2
India,Asia,2023,1429.82,2550.2,81.6,5981.2,4.18,539.65,9.02
India,Asia,2024,1445.55,2703.2,86.5,6884.27,4.76,669.86,9.73
Japan,Asia,2015,127.0,38000.0,63.6,2292.66,18.05,841.29,36.7
Japan,Asia,2016,126.75,38380.0,65.1,2292.89,18.09,802.51,35.0
Japan,Asia,2017,126.49,38763.8,71.0,2366.52,18.71,872.99,36.89
Japan,Asia,2018,126.24,39151.4,73.2,2359.38,18.69,814.31,34.51
Japan,Asia,2019,125.99,39543.0,76.7,2382.18,18.91,866.29,36.37
Japan,Asia,2020,125.74,39938.4,80.3,2467.7,19.63,1043.52,42.29
Japan,Asia,2021,125.48,40337.8,79.2,2488.85,19.83,977.35,39.27
Japan,Asia,2022,125.23,40741.1,90.9,2499.81,19.96,1008.05,40.33
Japan,Asia,2023,124.98,41148.6,88.9,2519.62,20.16,1048.83,41.63
Japan,Asia,2024,124.73,41560.0,93.5,2477.11,19.86,1095.34,44.22
Germany,Europe,2015,81.0,42000.0,67.8,1616.98,19.96,694.56,42.95
Germany,Europe,2016,81.08,42630.0,72.4,1532.76,18.9,724.18,47.25
Germany,Europe,2017,81.16,43269.4,71.2,1572.71,19.38,715.46,45.49
Germany,Europe,2018,81.24,43918.5,74.1,1617.16,19.91,712.39,44.05
Germany,Europe,2019,81.32,44577.3,75.2,1610.32,19.8,802.95,49.86
Germany,Europe,2020,81.41,45245.9,79.4,1763.32,21.66,841.77,47.74
Germany,Europe,2021,81.49,45924.6,83.5,1748.55,21.46,831.59,47.56
Germany,Europe,2022,81.57,46613.5,86.4,1796.91,22.03,854.18,47.54
